Type data;Bevoegd gezag;Bevoegd gezag naam;Scholen;Verslagjaar;Soort;Solvabiliteit I;Solvabiliteit II;Liquiditeit current;Liquiditeit quick;Weerstandsvermogen;Kapitalisatiefactor;Rentabiliteit;Huisvestingsratio;Personeel pct rijksbijdrage;Rijksbijdrage pct totaal;Netto werkkapitaal
Bestuur;13554;Stichting Quadraam;07. 13554-20RM-000;2024;Enkelvoudig;46,9;56,9;1,13;1,13;28,4;35,6;-3,4;7,6;83,0;94,8;2,5
Bestuur;13556;Onderwijsstichting Zelfstandige Gymnasia;"03. 13556-21AB-000; 05. 13556-21AF-000; 19. 13556-20QY-000; 21. 13556-02DW-000; 22. 13556-20AJ-000; 37. 13556-20DG-000";2024;Enkelvoudig;64,1;69,9;1,664;1,664;31,4;35,8;-3,0;5,8;88,6;93,1;9,8
Bestuur;13603;Stichting voor Openbaar Voortgezet Onderwijs FryslÃ¢n-Noord;26. 13603-20DL-002;2024;Enkelvoudig;40,4;81,3;3,911;3,911;23,0;51,6;6,6;9,3;77,8;94,8;31,1
Bestuur;13652;Stichting Openbaar Voortgezet Onderwijs Noord-Holland-Noord;01. 13652-20AA-000;2024;Enkelvoudig;41,6;55,3;2,256;2,256;29,9;62,4;-2,7;4,3;89,8;94,8;19,3
Bestuur;13749;Stichting Gemeentelijk Gymnasium Hilversum;23. 13749-20DD-000;2024;Enkelvoudig;23,4;28,9;1,104;1,104;9,4;40,3;-0,3;3,7;88,3;91,1;1,7
Bestuur;20151;Ver. Chr. Voortgezet Onderwijs te Rotterdam en omgeving;"32. 20151-14QT-000; 44. 20151-31RY-000";2024;Enkelvoudig;55,6;64,0;2,283;2,283;41,5;53,6;2,3;6,4;80,4;92,0;24,4
Bestuur;31240;Willem Lodewijk Gymnasium;18. 31240-02CR-000;2024;Enkelvoudig;61,4;69,4;3,476;3,476;56,3;58,5;0,6;6,2;85,0;96,8;33,0
Bestuur;33944;Verenig. Het 's-Gravenh. Christel. Gymnas. Sorghvliet;16. 33944-02DQ-000;2024;Enkelvoudig;55,6;65,2;0,741;0,741;19,6;15,0;-0,1;7,6;84,9;92,5;-3,2
Bestuur;40094;De Willibrord St. v. rk, pc en Int.conf. Voortg. Ond. Utr. e;35. 40094-16PA-000;2024;Geconsolideerd;48,6;64,2;1,76;1,76;24,1;41,6;-1,3;5,8;92,4;88,7;13,2
Bestuur;40586;Onderwijsstichting Esprit;42. 40586-30GC-000;2024;Enkelvoudig;25,0;48,9;1,702;1,702;16,6;66,4;-1,1;9,9;96,5;79,8;23,2
Bestuur;40856;Stichting Onderwijsgroep Oost-Brabant;10. 40856-02QP-000;2024;Enkelvoudig;46,9;70,8;2,963;2,963;26,3;54,0;-3,1;6,3;87,5;96,4;32,2
Bestuur;41208;Stichting Onderwijsgroep Amersfoort;02. 41208-20CK-000;2024;Enkelvoudig;61,2;78,2;3,773;3,773;41,3;60,3;1,1;7,2;85,8;96,2;39,8
Bestuur;41211;Ons Middelbaar Onderwijs;"08. 41211-02FY-007; 28. 41211-17JY-000";2024;Geconsolideerd;36,1;39,7;1,432;1,432;34,9;44,4;0,1;7,9;84,4;93,3;8,5
Bestuur;41285;Stichting @voCampus;29. 41285-20CI-000;2024;Enkelvoudig;50,4;56,1;1,684;1,684;45,1;43,1;-3,3;8,5;88,3;90,9;11,2
Bestuur;41298;Stg. Scholengroep Spinoza voor VO te Voorb., Leidschendam eo;46. 41298-02VO-000;2024;Enkelvoudig;33,5;60,6;1,553;1,553;13,7;35,7;-4,4;6,9;90,4;92,0;8,5
Bestuur;41347;Verenig. voor Christel. VO in Noord- en West-FryslÆ?n;25. 41347-14WI-000;2024;Enkelvoudig;34,4;73,2;2,49;2,49;17,4;41,8;-4,0;11,1;81,0;95,1;20,1
Bestuur;41360;Stichting Voortgezet Onderwijs Haaglanden;15. 41360-20LU-000;2024;Enkelvoudig;49,1;69,4;2,434;2,434;25,4;46,6;-0,5;7,6;85,6;93,2;22,7
Bestuur;41386;Stg. Openbaar Verenigd Onderw. in Gorinchem en de regio;13. 41386-19ZU-000;2024;Enkelvoudig;66,5;73,1;2,276;2,276;33,2;39,6;0,9;6,7;83,8;96,1;17,1
Bestuur;41475;Sticht. Openb. Voortg. Onderw. Utrecht en Omstreken;36. 41475-15JM-000;2024;Enkelvoudig;48,0;66,2;2,209;2,209;29,2;54,8;-5,9;9,4;89,4;92,1;24,9
Bestuur;41513;Stg. Johan de Witt-gymnasium te Dordrecht;11. 41513-20KZ-000;2024;Enkelvoudig;39,7;83,9;3,634;3,634;25,2;48,6;-3,2;20,5;87,5;80,8;27,0
Bestuur;41525;Stichting Openbaar Voortgezet Onderwijs Gouda;14. 41525-20AI-000;2024;Enkelvoudig;59,3;86,5;6,697;6,697;30,0;50,7;-3,3;8,0;84,4;96,5;38,9
Bestuur;41568;Stichting Openbare Scholengr. Vlaardingen Schiedam (OSVS);33. 41568-20DC-000;2024;Enkelvoudig;52,5;67,9;2,053;2,053;25,4;37,6;-0,8;6,3;87,4;95,2;15,2
Bestuur;41775;Stichting BOOR;31. 41775-15SC-000;2024;Enkelvoudig;25,6;49,8;1,26;1,26;10,8;30,8;-2,1;7,3;91,7;89,4;4,7
Bestuur;42505;Stichting Stedelijk Gymnasium Leiden;"27. 42505-20DP-000; 27. 42505-30GD-000";2024;Enkelvoudig;74,7;80,9;4,318;4,318;49,0;59,6;-1,4;5,7;88,0;97,2;41,6
Bestuur;42620;Het Baken Almere, Stichting Interconfess. Voortg. Onderw.;41. 42620-01FP-004;2024;Enkelvoudig;15,4;22,7;0,659;0,659;3,9;20,0;-2,0;5,4;88,4;92,4;-6,5
Bestuur;42621;Stichting ZAAM, Interconfessioneel Voortgezet Onderwijs;43. 42621-14RF-006;2024;Enkelvoudig;28,5;42,0;1,184;1,184;13,4;39,0;-0,7;7,0;86,0;94,1;5,0
Bestuur;42623;Stichting Openbaar Onderwijs Zwolle en Regio;38. 42623-20CF-000;2024;Enkelvoudig;44,5;58,4;1,352;1,352;16,4;26,8;-0,3;6,6;87,2;95,3;5,4
Bestuur;42818;Stichting Veluwse Onderwijsgroep;06. 42818-20QU-000;2024;Enkelvoudig;55,2;64,5;1,742;1,738;29,9;41,4;-3,0;7,6;87,1;95,2;14,3
Bestuur;42992;LibrÃ©on, Stichting voor Katholiek en Openbaar Voortgezet Onderwijs;"09. 42992-03AM-000; 30. 42992-02QO-000";2024;Enkelvoudig;26,1;57,5;1,227;1,227;8,0;30,4;-3,3;5,0;85,6;94,7;2,9
Bestuur;99048;Stichting Voortgezet Onderwijs Parkstad Limburg;45. 99048-19HV-000;2024;Enkelvoudig;52,9;63,0;1,679;1,676;29,8;40,1;-0,5;6,7;85,5;96,2;14,1
