Type data;tSchool;Schooljaar;Voorlopig definitief;Profiel;Examenkandidaten;Geslaagden;Gezakten;Slaagpercentage;tCentraal examen;tSchoolexamen;tCijferlijst;Percentiel slaag;Percentiel ce;Percentiel se
School;27. 42505-20DP-000;23-24;Definitief;Natuur en Gezondheid;17;17;0;100;6600000;6400000;6500000;88;70;48
School;27. 42505-20DP-000;23-24;Definitief;Natuur en Techniek;12;12;0;100;7500000;7300000;7300000;65;75;78
School;27. 42505-20DP-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;57;53;;93;7100000;7000000;7100000;31;48;57
School;11. 41513-20KZ-000;23-24;Definitief;Cultuur en Maatschappij;5;;;;6200000;6400000;6200000;;13;14
School;11. 41513-20KZ-000;23-24;Definitief;Economie en Maatschappij;6;6;0;100;6100000;6200000;6200000;76;3;24
School;11. 41513-20KZ-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;24;22;;92;6400000;6700000;6600000;60;20;63
School;11. 41513-20KZ-000;23-24;Definitief;Natuur en Gezondheid;20;18;;90;6400000;6600000;6600000;61;46;80
School;11. 41513-20KZ-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;39;38;;97;7100000;7100000;7100000;65;48;76
School;15. 41360-20LU-000;23-24;Definitief;Cultuur en Maatschappij;14;12;;86;6600000;6600000;6600000;28;51;44
School;15. 41360-20LU-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;39;34;5;87;6900000;6800000;6900000;33;76;80
School;15. 41360-20LU-000;23-24;Definitief;Natuur en Gezondheid;14;10;;71;6300000;6400000;6500000;11;33;48
School;15. 41360-20LU-000;23-24;Definitief;Natuur en Techniek;10;10;0;100;7600000;7500000;7500000;65;86;89
School;15. 41360-20LU-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;39;37;;95;7200000;7100000;7100000;52;67;76
School;06. 42818-20QU-000;23-24;Definitief;Cultuur en Maatschappij;7;6;;86;6300000;6300000;6400000;28;21;8
School;06. 42818-20QU-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;26;22;;85;6500000;6600000;6600000;23;32;42
School;06. 42818-20QU-000;23-24;Definitief;Natuur en Gezondheid;28;22;6;79;6100000;6200000;6300000;20;10;21
School;06. 42818-20QU-000;23-24;Definitief;Natuur en Techniek;6;6;0;100;7700000;7600000;7700000;65;92;95
School;06. 42818-20QU-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;20;19;;95;7100000;7200000;7200000;52;48;89
School;19. 13556-20QY-000;23-24;Definitief;Cultuur en Maatschappij;8;7;;88;6600000;6500000;6600000;38;51;28
School;19. 13556-20QY-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;36;34;;94;6900000;6600000;6800000;68;76;42
School;19. 13556-20QY-000;23-24;Definitief;Natuur en Gezondheid;15;13;;87;6600000;6400000;6500000;50;70;48
School;19. 13556-20QY-000;23-24;Definitief;Natuur en Techniek;23;22;;96;7200000;6900000;7200000;28;59;42
School;19. 13556-20QY-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;26;26;0;100;7400000;7300000;7400000;90;94;96
School;07. 13554-20RM-000;23-24;Definitief;Cultuur en Maatschappij;13;11;;85;6600000;6400000;6500000;23;51;14
School;07. 13554-20RM-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;28;19;9;68;6400000;6200000;6400000;1;20;4
School;07. 13554-20RM-000;23-24;Definitief;Natuur en Gezondheid;13;11;;85;6200000;6100000;6200000;38;21;7
School;07. 13554-20RM-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;65;57;8;88;6700000;6500000;6600000;6;8;1
School;03. 13556-21AB-000;23-24;Definitief;Cultuur en Maatschappij;17;17;0;100;7400000;6900000;7200000;89;99;87
School;03. 13556-21AB-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;47;42;5;89;6800000;6400000;6700000;45;63;10
School;03. 13556-21AB-000;23-24;Definitief;Natuur en Gezondheid;8;5;;62;6500000;6100000;6400000;6;57;7
School;03. 13556-21AB-000;23-24;Definitief;Natuur en Techniek;11;11;0;100;7500000;6900000;7200000;65;75;42
School;03. 13556-21AB-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;29;27;;93;7400000;6900000;7200000;31;94;33
School;05. 13556-21AF-000;23-24;Definitief;Cultuur en Maatschappij;20;19;;95;6700000;6800000;6800000;69;67;74
School;05. 13556-21AF-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;38;36;;95;7100000;6900000;7100000;77;94;89
School;05. 13556-21AF-000;23-24;Definitief;Natuur en Gezondheid;17;17;0;100;6700000;6500000;6700000;88;84;63
School;05. 13556-21AF-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;58;55;;95;7200000;6900000;7100000;52;67;33
School;42. 40586-30GC-000;23-24;Definitief;Cultuur en Maatschappij;23;22;;96;6600000;7000000;6900000;76;51;92
School;42. 40586-30GC-000;23-24;Definitief;Economie en Maatschappij;8;8;0;100;6400000;6300000;6500000;76;44;35
School;42. 40586-30GC-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;39;34;5;87;6400000;6500000;6500000;33;20;23
School;42. 40586-30GC-000;23-24;Definitief;Natuur en Gezondheid;19;19;0;100;6600000;6600000;6600000;88;70;80
School;42. 40586-30GC-000;23-24;Definitief;Natuur en Techniek;5;5;0;100;7800000;7600000;7700000;65;97;95
School;42. 40586-30GC-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;48;45;;94;7000000;6900000;7000000;42;31;33
School;27. 42505-30GD-000;23-24;Definitief;Cultuur en Maatschappij;18;18;0;100;7200000;7100000;7200000;89;95;97
School;27. 42505-30GD-000;23-24;Definitief;Economie en Maatschappij;6;5;;83;6500000;6500000;6700000;32;56;53
School;27. 42505-30GD-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;44;41;;93;6800000;6600000;6800000;65;63;42
School;27. 42505-30GD-000;23-24;Definitief;Natuur en Gezondheid;16;13;;81;6800000;6500000;6800000;25;94;63
School;27. 42505-30GD-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;71;65;6;92;7100000;6900000;7000000;21;48;33
School;44. 20151-31RY-000;23-24;Definitief;Cultuur en Maatschappij;12;11;;92;6600000;6700000;6900000;57;51;56
School;44. 20151-31RY-000;23-24;Definitief;Economie en Maatschappij;11;11;0;100;6900000;6600000;6900000;76;85;76
School;44. 20151-31RY-000;23-24;Definitief;Economie en Maatschappij / Cultuur en Maatschappij;11;11;0;100;7000000;6800000;7100000;96;87;80
School;44. 20151-31RY-000;23-24;Definitief;Natuur en Gezondheid;12;12;0;100;6600000;6600000;6900000;88;70;80
School;44. 20151-31RY-000;23-24;Definitief;Natuur en Techniek;14;11;;79;6800000;6400000;7000000;5;9;6
School;44. 20151-31RY-000;23-24;Definitief;Natuur en Techniek / Natuur en Gezondheid;22;20;;91;7200000;6800000;7300000;15;67;13
School;04. 40776-01ET-000;24-25;Voorlopig;Cultuur en Maatschappij;10;10;0;100;7200000;7100000;7200000;84;99;93
School;04. 40776-01ET-000;24-25;Voorlopig;Economie en Maatschappij;23;23;0;100;7000000;6600000;6800000;81;94;56
School;04. 40776-01ET-000;24-25;Voorlopig;Economie en Maatschappij / Cultuur en Maatschappij;28;28;0;100;6900000;6700000;6800000;91;84;59
School;04. 40776-01ET-000;24-25;Voorlopig;Natuur en Techniek;10;10;0;100;7900000;7700000;7800000;76;98;98
School;04. 40776-01ET-000;24-25;Voorlopig;Natuur en Techniek / Natuur en Gezondheid;34;31;;91;7200000;7000000;7100000;29;82;46
School;41. 42620-01FP-004;24-25;Voorlopig;Cultuur en Maatschappij;7;6;;86;6500000;6700000;6700000;37;42;49
School;41. 42620-01FP-004;24-25;Voorlopig;Economie en Maatschappij / Cultuur en Maatschappij;11;7;;64;5900000;6200000;6300000;1;1;1
School;41. 42620-01FP-004;24-25;Voorlopig;Natuur en Gezondheid;25;19;6;76;6200000;6300000;6400000;14;22;26
School;41. 42620-01FP-004;24-25;Voorlopig;Natuur en Techniek;11;10;;91;6600000;6500000;6800000;35;22;7
School;41. 42620-01FP-004;24-25;Voorlopig;Natuur en Techniek / Natuur en Gezondheid;25;24;;96;7100000;7100000;7200000;57;70;67
School;18. 31240-02CR-000;24-25;Voorlopig;Cultuur en Maatschappij;6;6;0;100;7100000;7100000;7100000;84;95;93
School;18. 31240-02CR-000;24-25;Voorlopig;Economie en Maatschappij;10;9;;90;6900000;7000000;7200000;47;82;94
School;18. 31240-02CR-000;24-25;Voorlopig;Economie en Maatschappij / Cultuur en Maatschappij;25;25;0;100;6600000;6800000;6900000;91;44;79
School;18. 31240-02CR-000;24-25;Voorlopig;Natuur en Gezondheid;13;12;;92;6700000;6700000;6900000;62;87;81
School;18. 31240-02CR-000;24-25;Voorlopig;Natuur en Techniek / Natuur en Gezondheid;30;29;;97;7600000;7700000;7700000;70;99;99
School;16. 33944-02DQ-000;24-25;Voorlopig;Cultuur en Maatschappij;6;6;0;100;7000000;6600000;6800000;84;91;36
School;16. 33944-02DQ-000;24-25;Voorlopig;Economie en Maatschappij;10;10;0;100;6800000;7000000;7000000;81;71;94
School;16. 33944-02DQ-000;24-25;Voorlopig;Economie en Maatschappij / Cultuur en Maatschappij;26;25;;96;6700000;6700000;6800000;73;61;59
School;16. 33944-02DQ-000;24-25;Voorlopig;Natuur en Gezondheid;12;12;0;100;6600000;6800000;6800000;88;76;90
School;16. 33944-02DQ-000;24-25;Voorlopig;Natuur en Techniek;11;10;;91;6900000;6900000;7000000;35;48;48
School;16. 33944-02DQ-000;24-25;Voorlopig;Natuur en Techniek / Natuur en Gezondheid;49;48;;98;7200000;7200000;7300000;81;82;81
School;21. 13556-02DW-000;24-25;Voorlopig;Cultuur en Maatschappij;13;13;0;100;6900000;6800000;6900000;84;84;63
School;21. 13556-02DW-000;24-25;Voorlopig;Economie en Maatschappij;15;12;;80;6600000;6400000;6600000;9;41;26
School;21. 13556-02DW-000;24-25;Voorlopig;Economie en Maatschappij / Cultuur en Maatschappij;15;14;;93;6700000;6500000;6700000;49;61;18
School;21. 13556-02DW-000;24-25;Voorlopig;Natuur en Gezondheid;24;22;;92;6500000;6600000;6600000;62;60;69
School;21. 13556-02DW-000;24-25;Voorlopig;Natuur en Techniek;5;;;;6900000;6700000;7000000;;48;18
School;21. 13556-02DW-000;24-25;Voorlopig;Natuur en Techniek / Natuur en Gezondheid;29;25;;86;6900000;6900000;7000000;11;42;29
School;08. 41211-02FY-007;24-25;Voorlopig;Economie en Maatschappij / Cultuur en Maatschappij;18;16;;89;6500000;6900000;6800000;28;32;94
School;08. 41211-02FY-007;24-25;Voorlopig;Natuur en Gezondheid;12;10;;83;5900000;6400000;6400000;30;9;38
School;08. 41211-02FY-007;24-25;Voorlopig;Natuur en Techniek;5;;;;6500000;6500000;6700000;;15;7
School;08. 41211-02FY-007;24-25;Voorlopig;Natuur en Techniek / Natuur en Gezondheid;19;14;5;74;6300000;7000000;6900000;4;4;46
School;30. 42992-02QO-000;24-25;Voorlopig;Cultuur en Maatschappij;17;12;5;71;6100000;6500000;6700000;14;8;18
School;30. 42992-02QO-000;24-25;Voorlopig;Economie en Maatschappij / Cultuur en Maatschappij;20;19;;95;6400000;6800000;7000000;66;20;79
School;30. 42992-02QO-000;24-25;Voorlopig;Natuur en Gezondheid;13;12;;92;6200000;6600000;6800000;62;22;69
School;30. 42992-02QO-000;24-25;Voorlopig;Natuur en Techniek;5;;;;6400000;6800000;6800000;;8;32
School;30. 42992-02QO-000;24-25;Voorlopig;Natuur en Techniek / Natuur en Gezondheid;27;19;8;70;6200000;6700000;6800000;1;1;4
School;10. 40856-02QP-000;24-25;Voorlopig;Economie en Maatschappij;9;8;;89;6500000;6500000;6600000;38;24;38
School;10. 40856-02QP-000;24-25;Voorlopig;Economie en Maatschappij / Cultuur en Maatschappij;25;19;6;76;6400000;6600000;6600000;7;20;34
School;10. 40856-02QP-000;24-25;Voorlopig;Natuur en Gezondheid;13;13;0;100;6900000;6800000;7000000;88;96;90
School;10. 40856-02QP-000;24-25;Voorlopig;Natuur en Techniek / Natuur en Gezondheid;12;12;0;100;7200000;7100000;7300000;93;82;67
School;46. 41298-02VO-000;24-25;Voorlopig;Cultuur en Maatschappij;9;9;0;100;6800000;6900000;6900000;84;71;74
School;46. 41298-02VO-000;24-25;Voorlopig;Economie en Maatschappij;9;8;;89;6600000;6600000;6700000;38;41;56
School;46. 41298-02VO-000;24-25;Voorlopig;Economie en Maatschappij / Cultuur en Maatschappij;21;18;;86;6600000;6600000;6800000;20;44;34
School;46. 41298-02VO-000;24-25;Voorlopig;Natuur en Gezondheid;15;13;;87;6500000;6600000;6700000;43;60;69
School;46. 41298-02VO-000;24-25;Voorlopig;Natuur en Techniek;15;14;;93;6600000;6600000;6900000;43;22;13
School;46. 41298-02VO-000;24-25;Voorlopig;Natuur en Techniek / Natuur en Gezondheid;40;35;5;88;7000000;7000000;7100000;17;56;46
School;09. 42992-03AM-000;24-25;Voorlopig;Cultuur en Maatschappij;14;12;;86;6400000;6600000;6500000;37;32;36
School;09. 42992-03AM-000;24-25;Voorlopig;Economie en Maatschappij / Cultuur en Maatschappij;56;47;9;84;6400000;6700000;6700000;16;20;59
School;09. 42992-03AM-000;24-25;Voorlopig;Natuur en Gezondheid;13;12;;92;7100000;6900000;7000000;62;99;99
School;09. 42992-03AM-000;24-25;Voorlopig;Natuur en Techniek;18;16;;89;6900000;7000000;7000000;24;48;62
School;09. 42992-03AM-000;24-25;Voorlopig;Natuur en Techniek / Natuur en Gezondheid;26;25;;96;7300000;7400000;7400000;57;90;96
School;34. 40996-04DS-000;24-25;Voorlopig;Cultuur en Maatschappij;9;6;;67;6300000;6400000;6700000;4;24;4
School;34. 40996-04DS-000;24-25;Voorlopig;Economie en Maatschappij / Cultuur en Maatschappij;7;7;0;100;6500000;6800000;6900000;91;32;79
School;34. 40996-04DS-000;24-25;Voorlopig;Natuur en Gezondheid;19;19;0;100;6400000;6400000;6700000;88;49;38
School;34. 40996-04DS-000;24-25;Voorlopig;Natuur en Techniek;11;10;;91;6900000;7000000;7300000;35;48;62
School;34. 40996-04DS-000;24-25;Voorlopig;Natuur en Techniek / Natuur en Gezondheid;29;28;;97;7000000;7100000;7200000;70;56;67
School;32. 20151-14QT-000;24-25;Voorlopig;Economie en Maatschappij / Cultuur en Maatschappij;30;27;;90;6700000;6700000;7000000;32;61;59
School;32. 20151-14QT-000;24-25;Voorlopig;Natuur en Techniek;12;10;;83;6900000;6800000;7000000;9;48;32
School;32. 20151-14QT-000;24-25;Voorlopig;Natuur en Techniek / Natuur en Gezondheid;29;26;;90;6600000;6600000;6800000;23;12;1
School;43. 42621-14RF-006;24-25;Voorlopig;Cultuur en Maatschappij;18;18;0;100;6800000;7000000;7000000;84;71;82
School;43. 42621-14RF-006;24-25;Voorlopig;Economie en Maatschappij / Cultuur en Maatschappij;33;31;;94;6800000;6600000;6800000;59;73;34
School;43. 42621-14RF-006;24-25;Voorlopig;Natuur en Gezondheid;12;9;;75;6400000;6200000;6500000;12;49;12
School;43. 42621-14RF-006;24-25;Voorlopig;Natuur en Techniek;22;21;;95;7100000;6900000;7100000;50;67;48
School;43. 42621-14RF-006;24-25;Voorlopig;Natuur en Techniek / Natuur en Gezondheid;31;29;;94;7000000;6900000;7100000;46;56;29
School;25. 41347-14WI-000;24-25;Voorlopig;Cultuur en Maatschappij;19;15;;79;6500000;6800000;6800000;25;42;63
School;25. 41347-14WI-000;24-25;Voorlopig;Economie en Maatschappij / Cultuur en Maatschappij;11;8;;73;6100000;6400000;6400000;4;6;10
School;25. 41347-14WI-000;24-25;Voorlopig;Natuur en Gezondheid;12;11;;92;5900000;6400000;6400000;62;9;38
School;25. 41347-14WI-000;24-25;Voorlopig;Natuur en Techniek / Natuur en Gezondheid;28;24;;86;6500000;6800000;6800000;11;6;13
School;36. 41475-15JM-000;24-25;Voorlopig;Cultuur en Maatschappij;19;18;;95;6700000;7000000;7000000;67;58;82
School;36. 41475-15JM-000;24-25;Voorlopig;Economie en Maatschappij;22;22;0;100;6700000;6700000;6800000;81;59;71
School;36. 41475-15JM-000;24-25;Voorlopig;Economie en Maatschappij / Cultuur en Maatschappij;44;41;;93;6500000;6700000;6700000;49;32;59
School;36. 41475-15JM-000;24-25;Voorlopig;Natuur en Gezondheid;21;18;;86;6300000;6600000;6600000;41;35;69
School;36. 41475-15JM-000;24-25;Voorlopig;Natuur en Techniek;6;6;0;100;7700000;7300000;7700000;76;92;83
School;36. 41475-15JM-000;24-25;Voorlopig;Natuur en Techniek / Natuur en Gezondheid;60;58;;97;7000000;7200000;7200000;70;56;81
School;31. 41775-15SC-000;24-25;Voorlopig;Cultuur en Maatschappij;14;14;0;100;7100000;6800000;7000000;84;95;63
School;31. 41775-15SC-000;24-25;Voorlopig;Economie en Maatschappij;5;5;0;100;6800000;6500000;6600000;81;71;38
School;31. 41775-15SC-000;24-25;Voorlopig;Economie en Maatschappij / Cultuur en Maatschappij;35;35;0;100;6900000;6700000;6800000;91;84;59
School;31. 41775-15SC-000;24-25;Voorlopig;Natuur en Gezondheid;26;22;;85;6300000;6500000;6400000;36;35;51
School;31. 41775-15SC-000;24-25;Voorlopig;Natuur en Techniek / Natuur en Gezondheid;96;95;;99;7100000;7100000;7100000;85;70;67
School;35. 40094-16PA-000;24-25;Voorlopig;Cultuur en Maatschappij;29;29;0;100;6900000;7100000;7100000;84;84;93
School;35. 40094-16PA-000;24-25;Voorlopig;Economie en Maatschappij;6;6;0;100;6700000;6800000;6900000;81;59;82
School;35. 40094-16PA-000;24-25;Voorlopig;Economie en Maatschappij / Cultuur en Maatschappij;32;29;;91;6900000;6900000;7000000;38;84;94
School;35. 40094-16PA-000;24-25;Voorlopig;Natuur en Gezondheid;29;29;0;100;6600000;6800000;6900000;88;76;90
School;35. 40094-16PA-000;24-25;Voorlopig;Natuur en Techniek;10;9;;90;7200000;6800000;7200000;28;72;32
School;35. 40094-16PA-000;24-25;Voorlopig;Natuur en Techniek / Natuur en Gezondheid;38;37;;97;7400000;7300000;7500000;70;95;90
School;28. 41211-17JY-000;24-25;Voorlopig;Cultuur en Maatschappij;13;8;5;62;6100000;6600000;6500000;1;8;36
School;28. 41211-17JY-000;24-25;Voorlopig;Economie en Maatschappij / Cultuur en Maatschappij;22;20;;91;6700000;6600000;6800000;38;61;34
School;28. 41211-17JY-000;24-25;Voorlopig;Natuur en Gezondheid;5;5;0;100;6700000;6800000;6900000;88;87;90
School;28. 41211-17JY-000;24-25;Voorlopig;Natuur en Techniek;10;10;0;100;7300000;7300000;7400000;76;77;83
School;28. 41211-17JY-000;24-25;Voorlopig;Natuur en Techniek / Natuur en Gezondheid;30;30;0;100;7000000;7100000;7200000;93;56;67
School;45. 99048-19HV-000;24-25;Voorlopig;Cultuur en Maatschappij;9;7;;78;6200000;6500000;6500000;22;16;18
School;45. 99048-19HV-000;24-25;Voorlopig;Economie en Maatschappij;23;19;;83;6300000;6600000;6800000;16;15;56
School;45. 99048-19HV-000;24-25;Voorlopig;Natuur en Gezondheid;9;7;;78;6000000;6200000;6400000;17;14;12
School;45. 99048-19HV-000;24-25;Voorlopig;Natuur en Techniek;8;8;0;100;6100000;6400000;6600000;76;2;2
School;45. 99048-19HV-000;24-25;Voorlopig;Natuur en Techniek / Natuur en Gezondheid;13;12;;92;7000000;7200000;7400000;36;56;81
School;13. 41386-19ZU-000;24-25;Voorlopig;Cultuur en Maatschappij;9;8;;89;6800000;6900000;7000000;51;71;74
School;13. 41386-19ZU-000;24-25;Voorlopig;Economie en Maatschappij;7;6;;86;6200000;6100000;6200000;22;9;3
School;13. 41386-19ZU-000;24-25;Voorlopig;Economie en Maatschappij / Cultuur en Maatschappij;16;15;;94;6400000;6400000;6500000;59;20;10
School;13. 41386-19ZU-000;24-25;Voorlopig;Natuur en Gezondheid;16;11;5;69;6300000;6300000;6400000;4;35;26
School;13. 41386-19ZU-000;24-25;Voorlopig;Natuur en Techniek / Natuur en Gezondheid;36;33;;92;6700000;6800000;6900000;36;21;13
School;01. 13652-20AA-000;24-25;Voorlopig;Cultuur en Maatschappij;7;6;;86;5900000;6500000;6300000;37;1;18
School;01. 13652-20AA-000;24-25;Voorlopig;Economie en Maatschappij / Cultuur en Maatschappij;11;10;;91;6200000;6800000;6600000;38;10;79
School;01. 13652-20AA-000;24-25;Voorlopig;Natuur en Gezondheid;13;7;6;54;5800000;6100000;6100000;1;4;4
School;01. 13652-20AA-000;24-25;Voorlopig;Natuur en Techniek;12;9;;75;6600000;6800000;6800000;2;22;32
School;01. 13652-20AA-000;24-25;Voorlopig;Natuur en Techniek / Natuur en Gezondheid;32;31;;97;6800000;7000000;7000000;70;31;46
School;14. 41525-20AI-000;24-25;Voorlopig;Cultuur en Maatschappij;14;12;;86;6400000;6500000;6700000;37;32;18
School;14. 41525-20AI-000;24-25;Voorlopig;Economie en Maatschappij;5;5;0;100;6600000;6200000;6500000;81;41;9
School;14. 41525-20AI-000;24-25;Voorlopig;Economie en Maatschappij / Cultuur en Maatschappij;14;14;0;100;7100000;7100000;7300000;91;99;99
School;14. 41525-20AI-000;24-25;Voorlopig;Natuur en Gezondheid;22;18;;82;6300000;6200000;6500000;26;35;12
School;14. 41525-20AI-000;24-25;Voorlopig;Natuur en Techniek;6;5;;83;7500000;7600000;7600000;9;85;95
School;14. 41525-20AI-000;24-25;Voorlopig;Natuur en Techniek / Natuur en Gezondheid;30;29;;97;6800000;6900000;7000000;70;31;29
